student_id,stream,class_level,marks_10th,marks_12th,maths_pct,science_pct,commerce_pct,english_pct,cs_it_pct,interests,aptitude_quant,aptitude_logical,aptitude_verbal,aptitude_creative,aptitude_technical,aptitude_commerce,dream_text,best_career_id,best_career_title
S001,Science,12th,92,90,95,93,,88,94,"coding, problem solving, competitive programming, tech videos",95,94,80,60,96,50,"I want to work at a top tech company building scalable software used by millions.",C001,Software Developer
S002,Science,12th,89,88,92,90,,85,90,"web design, UI, front-end, freelancing",88,86,82,92,85,45,"I dream of creating beautiful and fast websites for startups and my own agency.",C002,Web Developer
S003,Science,12th,95,94,98,96,,90,97,"math puzzles, data, statistics, research",97,95,83,70,90,55,"I want to use data to solve real world business and social problems.",C003,Data Scientist
S004,Science,12th,90,91,96,92,,86,93,"AI, neural networks, math, Kaggle",96,94,78,65,97,40,"I want to build intelligent systems that learn from data and power new products.",C004,Machine Learning Engineer
S005,Science,12th,85,84,88,86,,80,82,"ethical hacking, networking, cybersecurity blogs",88,92,75,60,90,50,"My dream is to defend organizations from hackers and cyber threats.",C005,Cybersecurity Analyst
S006,Science,12th,82,81,86,83,,78,80,"cloud, DevOps, automation, Linux tinkering",87,85,72,65,92,55,"I want to manage cloud infrastructure and automate deployments for big products.",C006,Cloud Engineer
S007,Science,12th,80,78,84,80,,75,78,"Linux, scripting, CI/CD, infra",86,88,70,62,90,52,"I want to streamline deployments and make development faster using automation.",C007,DevOps Engineer
S008,Science,12th,87,86,90,88,,82,89,"mobile apps, Android, UX, startups",88,84,79,85,89,48,"My dream is to build mobile apps that simplify daily life for students.",C008,Mobile App Developer
S009,Science,12th,83,82,88,85,,78,80,"gaming, graphics, storytelling",84,82,76,92,87,40,"I want to create immersive games with strong stories and fun mechanics.",C009,Game Developer
S010,Science,12th,78,79,80,78,,75,77,"design, UI, UX, user psychology",75,78,88,95,74,45,"I dream of designing interfaces that feel simple and delightful to use.",C010,UI/UX Designer
