career_id,title,description,required_skills,suitable_interests,education_path,stream_tag
C001,Software Developer,"Builds and maintains software applications used on web, mobile, or desktops.","Programming, DSA, OOP, Problem Solving, Git","coding, building apps, logic puzzles, tech",10th → 11-12th Science (PCM/PCMB) or Commerce with Maths → B.Tech/B.Sc CS/IT → internships → SDE role,Both
C002,Web Developer,Creates and maintains websites and web applications.,"HTML, CSS, JavaScript, React, Node.js, Databases","designing websites, coding, creativity, UI",10th → 11-12th Science or Commerce → BCA/B.Sc CS/B.Tech IT → web dev projects → web developer,Both
C003,Data Scientist,Analyzes data to extract insights and build predictive models.,"Python, Statistics, Machine Learning, SQL","maths, data, patterns, research",10th → 11-12th Science (PCM) or Commerce with Maths → B.Tech/B.Sc Stats → data scientist,Both
C004,Machine Learning Engineer,Builds and deploys ML models.,"Python, ML, TensorFlow/PyTorch, DSA","AI, automation, maths, coding",10th → 11-12th Science (PCM) → B.Tech CSE/AI-ML → ML engineer,Science
C005,Cybersecurity Analyst,Protects systems and networks from cyber attacks.,"Networking, Linux, Security Tools","ethical hacking, puzzles, investigation",10th → 11-12th Science (PCM) → B.Tech CSE/IT → cybersecurity analyst,Science
C006,Cloud Engineer,Designs cloud infrastructure.,"Cloud Platforms, Linux, Networking","automation, servers, DevOps",10th → 11-12th Science (PCM) → B.Tech CSE/IT → cloud engineer,Science
C007,DevOps Engineer,Automates development & deployment pipelines.,"CI/CD, Docker, Kubernetes, Linux","automation, system management",10th → 11-12th Science (PCM) → B.Tech CSE/IT → DevOps engineer,Science
C008,Mobile App Developer,Builds Android/iOS mobile applications.,"Java/Kotlin, Flutter, React Native","apps, design, coding",10th → 11-12th Science or Commerce → BCA/B.Tech → mobile dev,Both
C009,Game Developer,Creates computer and mobile games.,"C++, C#, Unity, Unreal Engine","gaming, graphics, coding",10th → 11-12th Science (PCM) → B.Tech CS/Game Dev → game developer,Science
C010,UI/UX Designer,Designs user interfaces and experiences.,"Figma, Prototyping, UX Research","creativity, design, psychology",10th → 11-12th Science or Commerce → B.Des/Design course → UI/UX designer,Both
C011,Electronics Engineer,Works with electronic circuits & devices.,"Circuit Design, Microcontrollers","gadgets, circuits, hardware",10th → 11-12th Science (PCM) → B.Tech ECE/EEE → electronics engineer,Science
C012,Electrical Engineer,Designs and maintains electrical systems.,"Power Systems, MATLAB, Circuits","machines, electricity",10th → 11-12th Science (PCM) → B.Tech Electrical Engg,Science
C013,Mechanical Engineer,Designs and analyzes mechanical systems.,"CAD, Mechanics, Thermodynamics","machines, vehicles, physics",10th → 11-12th Science (PCM) → B.Tech Mechanical,Science
C014,Civil Engineer,Designs infrastructure like buildings & roads.,"AutoCAD, Surveying, Planning","construction, structures, field work",10th → 11-12th Science (PCM) → B.Tech Civil Engg,Science
